epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,360.764,0.9983,1.80513,0.91519,0.73218,0.28071,0.31274,0.22368,1.58797,3.42401,0.95406,0.000311749,0.000311749,0.000311749
46,369.018,1.02237,1.90366,0.94354,0.95219,0.25494,0.32796,0.24413,1.56305,3.28986,0.94181,0.000310094,0.000310094,0.000310094
47,376.808,0.89058,1.6545,0.9006,0.95219,0.25494,0.32796,0.24413,1.56305,3.28986,0.94181,0.000308059,0.000308059,0.000308059
48,384.761,0.97151,1.79711,0.89939,0.95219,0.25494,0.32796,0.24413,1.56305,3.28986,0.94181,0.000305644,0.000305644,0.000305644
49,392.739,0.94903,1.70607,0.90379,0.95219,0.25494,0.32796,0.24413,1.56305,3.28986,0.94181,0.000302848,0.000302848,0.000302848
50,400.656,1.02491,1.71535,0.87176,0.93037,0.269,0.34356,0.24584,1.51669,3.19509,0.93255,0.000299671,0.000299671,0.000299671
51,408.488,1.01422,1.60676,0.95655,0.93037,0.269,0.34356,0.24584,1.51669,3.19509,0.93255,0.000293181,0.000293181,0.000293181
52,416.383,0.89724,1.607,0.92658,0.93037,0.269,0.34356,0.24584,1.51669,3.19509,0.93255,0.000283665,0.000283665,0.000283665
53,424.263,0.92949,1.63475,0.91509,0.93037,0.269,0.34356,0.24584,1.51669,3.19509,0.93255,0.000274148,0.000274148,0.000274148
54,432.965,0.85978,1.35027,0.89072,0.97723,0.25912,0.35235,0.26717,1.44792,3.09908,0.9226,0.000264632,0.000264632,0.000264632
55,441.108,0.82518,1.47018,0.9247,0.97723,0.25912,0.35235,0.26717,1.44792,3.09908,0.9226,0.000255116,0.000255116,0.000255116
56,448.922,0.86953,1.62085,0.89224,0.97723,0.25912,0.35235,0.26717,1.44792,3.09908,0.9226,0.000245599,0.000245599,0.000245599
57,456.592,0.8556,1.54556,0.91486,0.97723,0.25912,0.35235,0.26717,1.44792,3.09908,0.9226,0.000236083,0.000236083,0.000236083
58,464.617,0.86568,1.38305,0.90407,0.97516,0.26426,0.35555,0.2727,1.43253,2.9686,0.91965,0.000226567,0.000226567,0.000226567
59,472.432,0.80974,1.42583,0.88727,0.97516,0.26426,0.35555,0.2727,1.43253,2.9686,0.91965,0.00021705,0.00021705,0.00021705
60,480.401,0.94771,1.47961,0.94838,0.97516,0.26426,0.35555,0.2727,1.43253,2.9686,0.91965,0.000207534,0.000207534,0.000207534
61,488.724,0.88896,1.54378,0.9375,0.97516,0.26426,0.35555,0.2727,1.43253,2.9686,0.91965,0.000198018,0.000198018,0.000198018
62,496.514,0.81141,1.63069,0.93589,0.86503,0.29844,0.36278,0.27758,1.39445,2.85182,0.90679,0.000188501,0.000188501,0.000188501
63,504.217,0.91122,1.46044,0.88442,0.86503,0.29844,0.36278,0.27758,1.39445,2.85182,0.90679,0.000178985,0.000178985,0.000178985
64,512.016,0.85957,1.43275,0.90108,0.86503,0.29844,0.36278,0.27758,1.39445,2.85182,0.90679,0.000169468,0.000169468,0.000169468
65,519.672,0.91163,1.5193,0.92439,0.86503,0.29844,0.36278,0.27758,1.39445,2.85182,0.90679,0.000159952,0.000159952,0.000159952
66,528.106,0.78627,1.33143,0.90897,0.9124,0.30272,0.37274,0.27826,1.41061,2.7931,0.91022,0.000150436,0.000150436,0.000150436
67,536.705,0.80237,1.3683,0.90457,0.9124,0.30272,0.37274,0.27826,1.41061,2.7931,0.91022,0.000140919,0.000140919,0.000140919
68,545.154,0.75111,1.35784,0.86632,0.9124,0.30272,0.37274,0.27826,1.41061,2.7931,0.91022,0.000131403,0.000131403,0.000131403
69,553.023,0.77447,1.30666,0.8791,0.9124,0.30272,0.37274,0.27826,1.41061,2.7931,0.91022,0.000121887,0.000121887,0.000121887
70,561.216,0.80205,1.42728,0.87358,0.89058,0.30244,0.37117,0.27789,1.40601,2.72064,0.90781,0.00011237,0.00011237,0.00011237
71,569.235,0.78868,1.46807,0.8465,0.89058,0.30244,0.37117,0.27789,1.40601,2.72064,0.90781,0.000102854,0.000102854,0.000102854
72,576.969,0.71518,1.33582,0.88879,0.89058,0.30244,0.37117,0.27789,1.40601,2.72064,0.90781,9.33374e-05,9.33374e-05,9.33374e-05
73,584.676,0.81895,1.45087,0.88227,0.89058,0.30244,0.37117,0.27789,1.40601,2.72064,0.90781,8.3821e-05,8.3821e-05,8.3821e-05
74,592.916,0.81692,1.46606,0.89079,0.89944,0.30155,0.37387,0.27838,1.39151,2.62452,0.90277,7.43046e-05,7.43046e-05,7.43046e-05
75,600.733,0.73214,1.43721,0.88448,0.89944,0.30155,0.37387,0.27838,1.39151,2.62452,0.90277,6.47882e-05,6.47882e-05,6.47882e-05
76,608.965,0.73958,1.30456,0.87174,0.89944,0.30155,0.37387,0.27838,1.39151,2.62452,0.90277,5.52719e-05,5.52719e-05,5.52719e-05
77,616.762,0.8496,1.58765,0.88818,0.89944,0.30155,0.37387,0.27838,1.39151,2.62452,0.90277,4.57555e-05,4.57555e-05,4.57555e-05
78,624.911,0.75705,1.39746,0.90007,0.87228,0.28704,0.37939,0.27962,1.38054,2.53685,0.9029,3.62391e-05,3.62391e-05,3.62391e-05
79,632.763,0.85944,1.54616,0.86685,0.87228,0.28704,0.37939,0.27962,1.38054,2.53685,0.9029,2.67228e-05,2.67228e-05,2.67228e-05
80,640.394,0.8236,1.51181,0.85941,0.87228,0.28704,0.37939,0.27962,1.38054,2.53685,0.9029,1.72064e-05,1.72064e-05,1.72064e-05
